mois,us_tr_usd,us_ipc,jp_prix_jpy,usd_par_eur,jpy_par_usd,cash_usd_pct,cash_eur_pct,cash_jpy_pct,us_tr_eur,jp_prix_eur
1999-03,121525.67289090452,165.0,89.71555631089961,1.0886,119.473,4.44,3.04669565217391,,111634.82720090439,0.6898102691668238
1999-04,126690.54085414099,166.2,94.61551099025606,1.0701,119.7723,4.29,2.69645454545455,,118391.31002162506,0.7382128246093594
1999-05,126565.33037549557,166.2,91.27379333786538,1.063,121.9995,4.5,2.57895238095238,,119064.28069190553,0.7038089494033435
1999-06,125791.0452617616,166.2,99.30738726489916,1.0377,120.7245,4.57,2.62668181818182,,121221.0130690581,0.7927099762636357
1999-07,131480.30550913248,166.7,101.1888737820077,1.037,119.3305,4.55,2.67645454545455,,126789.108494824,0.817716094192356
1999-08,126518.23416060675,167.1,98.77951506911398,1.0605,113.2268,4.72,2.69504545454545,,119300.55083508416,0.8226346216572124
1999-09,125762.13707185973,167.9,99.73634715612961,1.0497,106.8752,4.68,2.72668181818182,,119807.69464786103,0.8890195685237732
1999-10,124161.98263337013,168.2,101.64332653523681,1.0706,105.965,4.86,3.37566666666667,,115974.2038421167,0.8959611705678985
1999-11,132985.00320766686,168.3,105.13386585089508,1.0328,104.6485,5.07,3.46768181818182,,128761.62200587419,0.9727324345137645
1999-12,136720.32664128265,168.3,107.26455925674144,1.011,102.5843,5.2,3.44604545454545,,135232.76621294033,1.0342468282264663
2000-01,136557.9076415031,168.8,110.69397235440744,1.0131,105.296,5.32,3.34314285714286,,134792.1307289538,1.0376712493999876
2000-02,133174.08338615042,169.8,113.07228642646726,0.9834,109.3885,5.55,3.53676190476191,,135422.09008150338,1.051124848931907
2000-03,138422.59866183973,171.2,115.21255381826421,0.9643,106.3074,5.69,3.747043478260871,,143547.23494953825,1.1238908617647672
2000-04,140394.49754584933,171.3,101.82245637888057,0.9449,105.627,5.66,3.92527777777778,,148581.32876055597,1.0201940248893921
2000-05,136408.82685449417,171.5,92.52464309993202,0.9059,108.3205,5.79,4.36204545454546,,150578.23915939304,0.942901882633308
2000-06,140723.9327488359,172.4,98.6349988669839,0.9505,106.1255,5.69,4.501727272727271,,148052.5331392277,0.9778205795375539
2000-07,141919.63227181174,172.8,89.09749603444368,0.9386,108.2115,5.96,4.58290476190476,,151203.5289492987,0.8772260741498618
2000-08,143252.3300934545,172.8,95.5203942895989,0.9045,108.0804,6.09,4.77708695652174,,158377.3688153173,0.9771035517937685
2000-09,141704.76787893864,173.7,89.20949467482438,0.8695,106.8375,6.0,4.85280952380952,,162972.70601373047,0.9603239852306629
2000-10,134315.74119817355,174.0,82.36800362565148,0.8525,108.4429,6.11,5.0412727272727285,,157555.12164008626,0.8909698937567448
2000-11,133277.85132379748,174.1,82.98498753682301,0.8552,109.0095,6.17,5.09195454545454,,155844.07311014674,0.89015880753906
2000-12,128852.7134305257,174.0,78.09704282800816,0.8983,112.209,5.77,4.93915789473684,,143440.62499223612,0.7747926600690321
2001-01,129438.19635184472,175.1,78.42482438250622,0.9376,116.6719,5.15,4.77072727272727,,138052.68382235998,0.7169183321558248
2001-02,126672.25519370564,175.8,72.98629050532517,0.9205,116.2337,4.88,4.7558,,137612.44453417233,0.6821587212849786
2001-03,115169.72887694897,176.2,73.64434624971675,0.9083,121.505,4.42,4.70863636363636,,126797.01516783988,0.667292044631798
2001-04,115685.73272890452,176.9,78.93904373442102,0.8925,123.771,3.87,4.682,,129619.8686038146,0.7146028377057778
2001-05,123643.3832786616,177.7,75.13108996147744,0.8753,121.7682,3.62,4.63668181818182,,141258.2923325278,0.7049022140600425
2001-06,120689.2157597769,178.0,73.47071153410377,0.853,122.351,3.49,4.45357142857143,,141487.94344639732,0.7039757373820879
2001-07,117478.74377003494,177.5,67.19221617946975,0.8615,124.4981,3.51,4.46713636363636,,136365.34390021468,0.6264709831175984
2001-08,115075.45296218964,177.5,60.692895989123045,0.9014,121.367,3.36,4.35352173913043,,127663.02747081166,0.5547785866312726
2001-09,102132.67867477631,178.3,55.37434851574892,0.9114,118.6117,2.64,3.98285,,112061.31081278945,0.5122383324781282
2001-10,105384.61533607032,177.7,58.726150011330155,0.905,121.4536,2.16,3.59986956521739,,116447.08876913847,0.5342844797781415
2001-11,110709.85402053497,177.4,60.60185814638568,0.8883,122.4055,1.87,3.38568181818182,,124631.15391256892,0.557346587206229
2001-12,112332.91515200888,176.7,59.724790392023564,0.8912,127.5945,1.69,3.34488888888889,,126046.8078456114,0.5252275545441611
2002-01,111998.48490498011,177.1,56.63834126444595,0.8832,132.6833,1.65,3.33877272727273,,126809.87874205176,0.48332048332599153
2002-02,108243.40677449855,177.8,59.98090867890323,0.8707,133.6426,1.72,3.3571,,124317.68321407896,0.5154654724636726
2002-03,113596.30894642558,178.8,62.45717199184228,0.8766,131.061,1.79,3.3908,,129587.39327678025,0.5436349533802021
2002-04,109604.89155353032,179.8,65.10616360752323,0.886,130.7718,1.71,3.40690476190476,0.1,123707.55254348795,0.5619197306761147
2002-05,106514.47536651707,179.8,66.64230682075686,0.917,126.375,1.73,3.46713636363636,0.08,116155.37117395537,0.5750684181377312
2002-06,100208.64735686408,179.9,60.17357806480852,0.9561,123.2905,1.7,3.464,0.09,104809.7974656041,0.5104731506052596
2002-07,89427.04203681728,180.1,55.95932472241106,0.9935,117.8991,1.68,3.41,0.09,90012.12082216132,0.47774274852776855
2002-08,90444.76919435398,180.7,54.494108316338085,0.9781,118.9927,1.62,3.35190909090909,0.07,92469.85910883753,0.46821570062785606
2002-09,86140.99037567794,181.0,53.15709268071607,0.9806,121.078,1.63,3.31014285714286,0.08,87845.18700354674,0.44771752325746067
2002-10,84964.15071600323,181.3,48.949014276002714,0.9812,123.9077,1.58,3.26126086956522,0.08,86592.08185487488,0.4026132981727817
2002-11,90594.26136267504,181.3,52.20688873782007,1.0013,121.6079,1.23,3.12414285714286,0.08,90476.64172842808,0.4287477038708279
2002-12,89657.3019321248,180.9,48.600441876274644,1.0194,121.8929,1.19,2.94105,0.1,87951.0515323963,0.3911264435318243
2003-01,89458.21415638342,181.7,47.24643099932019,1.0622,118.8133,1.17,2.83181818181818,0.1,84219.74595780777,0.37436707990473156
2003-02,83720.03252689468,183.1,47.37729435757988,1.0785,119.3379,1.17,2.68745,0.09,77626.36302910958,0.3681049982925349
2003-03,84815.42204645436,184.2,45.16604350781781,1.0797,118.6871,1.13,2.52995238095238,0.08,78554.61891863884,0.3524564225084665
2003-04,89298.50638839629,183.8,44.36562429186494,1.0862,119.895,1.13,2.53335,0.08,82211.84532166846,0.34067144026805185
2003-05,94042.09274108184,183.5,47.7255268524813,1.1556,117.3681,1.07,2.4005238095238095,0.08,81379.4502778486,0.35187881769229473
2003-06,99406.28803384487,183.7,51.45654883299343,1.1674,118.329,0.92,2.15185714285714,0.09,85151.8657134186,0.3725029973408309
2003-07,99999.82473508608,183.9,54.176353954226144,1.1365,118.6959,0.9,2.13004347826087,0.09,87989.28705242946,0.401610090518559
2003-08,99834.6763487457,184.6,58.59704282800815,1.1155,118.6624,0.95,2.14042857142857,0.09,89497.69282720369,0.44268315536236075
2003-09,102991.80812811888,185.2,57.891740312712436,1.1267,114.8,0.94,2.14731818181818,0.09,91410.14300889224,0.4475756210183082
2003-10,105082.55094807477,185.0,59.82092680716066,1.1714,109.4955,0.92,2.1435652173913,0.09,89706.80463383539,0.4663925950717913
2003-11,106356.91392630145,184.5,57.220541581690455,1.171,109.1778,0.93,2.15905,0.08,90825.7164187032,0.4475697542138223
2003-12,109617.73917492137,184.3,60.484024473147514,1.2298,107.7377,0.9,2.14633333333333,0.1,89134.60658230718,0.45649759285738856
2004-01,115029.10743124921,185.2,61.09001812825742,1.2638,106.2685,0.88,2.08947619047619,0.09,91018.44234154867,0.4548700604509876
2004-02,116280.86271283418,186.2,62.553365057783815,1.264,106.7079,0.93,2.07055,0.09,91994.35341205235,0.4637746757543746
2004-03,114462.61821952708,187.4,66.36862678450034,1.2261,108.5157,0.94,2.02882608695652,0.08,93355.04299773842,0.498820580207372
2004-04,115572.41392516153,188.0,66.63148651710854,1.1989,107.6564,0.94,2.04875,0.08,96398.71042218828,0.5162459873888666
2004-05,112610.48728556815,189.1,63.654939950147295,1.2,112.196,1.02,2.08585714285714,0.08,93842.07273797346,0.472795672678076
2004-06,115830.17631158781,189.7,67.18145252662588,1.2146,109.4336,1.27,2.11268181818182,0.09,95364.87428913866,0.5054351327271368
2004-07,113238.58456353948,189.4,64.16145479265806,1.2266,109.4871,1.33,2.11604545454546,0.09,92319.08084423568,0.4777583536774593
2004-08,111668.91265441118,189.5,62.77923181509178,1.2191,110.2336,1.48,2.11427272727273,0.09,91599.46899713819,0.4671568003169369
2004-09,114777.83435989807,189.9,61.31639474280534,1.2224,110.0914,1.65,2.1185909090909094,0.09,93895.479679236,0.45562744445571135
2004-10,114896.38976424477,190.9,61.020960797643326,1.2507,108.7835,1.76,2.14733333333333,0.09,91865.66703785463,0.44850043019435626
2004-11,120382.22390047288,191.0,61.74512803081804,1.2997,104.699,2.07,2.17031818181818,0.09,92623.08525080624,0.4537504229742737
2004-12,123666.38657792944,190.3,65.08474960344437,1.3406,103.8104,2.19,2.17317391304348,0.1,92247.04354612072,0.4676696199453037
2005-01,122000.11599589544,190.7,64.51161341491049,1.3123,103.341,2.33,2.14542857142857,0.1,92966.63567468981,0.47569886476947887
2005-02,124053.45628495167,191.8,66.51144346249717,1.3013,104.9442,2.54,2.13835,0.1,95330.40519861037,0.4870353700349852
2005-03,123738.65972558965,193.3,66.10554044867438,1.3185,105.2543,2.74,2.13719047619048,0.08,93848.0543993854,0.47634090643267374
2005-04,120759.90989283657,194.6,62.36630410151824,1.2943,107.1938,2.78,2.1372380952381,0.08,93301.32882085805,0.4495162437004098
